date,chronology-member-outside-range,chronology-overlapping-members,chronology-undated-member,date-end-no-start,date-in-name,date-invalid,dated-relations,dupes,dupes-total,earth-years-admin-1,earth-years-admin-2,earth-years-admin-3,earth-years-admin-4,geom-invalid,geom-valid,invalid-way-reference,nested-shells,no-shapely,nonclosed-ring,num-nodes,num-relations,num-ways,other,ring-self-intersect,self-intersect,uncontained-inner-ring
2024-01-01,34,49,18,36757,3241,6320,1000568,,,1.4712230260011079,102.25274400118967,7.605164636411014,21.47076456155239,2069,34714,1202,13,46,1343,125511514,68033,2849684,,398,19,114
2024-01-15,41,51,35,37017,3245,6281,1016311,,,1.505287870089358,148.64771144888516,9.24553650424262,30.585764961410707,1010,35785,,14,46,518,125626705,68250,2861055,,405,20,12
2024-02-01,2911,57,26,37469,17823,6278,1055534,,,1.5052875636543344,139.1733737255248,8.424248802763893,30.525996412964982,1326,53227,,35,46,634,126070884,90625,2886279,,571,33,12
2024-02-15,2925,58,23,37644,18142,6279,1064291,,,1.5061508229358467,139.35989973965138,8.404496072859402,30.250168518630353,1396,53637,,36,37,635,126848745,91674,2907075,27,618,34,14
2024-03-01,2930,72,29,38235,18584,6276,1089371,,,1.5061508229358467,137.02628186325092,8.404560256790374,30.589421873856256,1434,54470,,43,37,664,127368066,93312,2940386,27,623,32,12
2024-03-15,2930,74,30,38475,18610,6347,1103003,,,1.791737589504995,138.29468140553018,9.210501001918106,31.232149846324273,1412,54596,,42,36,628,127731797,93707,2952928,27,639,32,12
2024-04-01,2932,82,31,38512,18798,6351,1114933,,,1.791737589504995,138.01026229266893,9.210502734886015,31.4801611577528,1420,55020,,33,36,673,128492442,94288,2967941,27,616,27,12
2024-04-15,2938,83,33,38641,18670,6351,1123049,,,1.7917443637813621,135.12067740715645,9.256992027324626,31.46058208828238,1543,55134,,37,41,800,128843228,94978,2979210,27,603,27,10
2024-05-01,2932,94,35,38782,18803,6348,1140553,,,1.8529393990079313,170.4349403583246,9.258271555137481,31.82862731162384,1442,55375,,37,40,704,129284455,95418,2993110,27,603,23,10
2024-05-15,2932,97,42,38984,18933,6327,1166596,,,1.8529393990079313,174.919367550357,9.089979482242311,31.736281085768105,1432,55482,,38,39,694,129859246,96042,3026246,27,603,23,10
2024-06-01,2938,110,56,39158,18992,6329,1175660,,,1.8295759782371013,192.91755710059934,9.754639316447589,33.3098486625034,1474,55560,,64,40,690,132564778,96692,3072987,27,621,24,10
2024-06-15,0,0,0,37519,349,6258,1140275,,,0.08403378231245417,37.27060471938942,1.3981886740314002,1.1081314079298972,121,25768,,10,9,77,133474326,97360,3093752,,14,7,4
2024-07-01,0,0,3,39575,19111,6280,1203563,,,0.08403378231245417,88.11466034861834,4.696468666504267,16.890163355498405,30103,27495,,6,29870,182,133843319,98410,3113302,,30,8,7
2024-07-15,2948,156,65,39317,19214,6265,1237902,,,1.8287127189555892,220.77103552894624,10.606551748953153,37.62579500247357,1474,56266,,47,41,667,134952277,99727,3149344,40,644,24,18
2024-08-01,2950,160,66,39183,19214,6199,1286183,,,1.8287442624118349,238.33329257195174,10.606549922437935,37.69622623014973,1475,56362,,47,41,668,136843727,101516,3207813,40,644,24,18
2024-08-15,2980,173,70,39304,19218,6199,1319760,,,1.8287442624118349,234.29378255671702,10.594826400491742,37.63622599183814,1494,56443,,47,41,688,137236682,102261,3242647,40,644,23,18
2024-09-01,2980,176,178,39183,19205,6198,1369389,,,1.9902530353455767,248.73300427716254,10.594845332671417,37.64030510467547,1487,56484,,47,42,680,137539035,102908,3270026,40,644,23,18
2024-09-15,2982,181,71,39386,19268,6199,1410911,,,1.9902530353455767,254.90355937728773,16.10185302390373,26.252081213024262,1482,56680,,47,42,680,138234188,103470,3294952,40,644,18,18
2024-10-01,2984,182,71,39437,19468,6193,1428577,,,10.050925869626933,250.23308100552686,16.61077971668199,26.218949859788744,1485,56997,,47,44,681,138480062,103968,3311163,40,643,18,17
2024-10-15,2985,183,71,39515,19653,6188,1451633,,,10.050925869626933,249.63907748625337,16.745332066908137,26.322424186718543,1494,57263,,47,47,677,138800661,104627,3334357,40,643,28,17
2024-11-01,2987,184,71,39724,19850,6165,1485752,,,9.471966349569435,251.2708362136458,17.2196160809513,26.833805923193065,1498,57640,,46,48,695,139224749,105559,3372530,40,639,18,18
2024-11-15,2994,196,73,39833,19960,6161,1503607,,,33.01133877202227,282.8007060074079,11.182000335467523,33.90912923550319,1625,57964,,45,47,814,139466084,106577,3394555,40,646,19,18
2024-12-01,2980,164,728,37501,20282,6311,1357752,,,33.29990515636754,281.1513018347865,10.658209580909928,33.521604361724634,1700,58661,,45,47,860,139795581,108016,3435929,41,660,34,17
2024-12-15,2938,170,747,37520,20539,6326,1392308,,,34.30403890050696,292.18280535698585,11.355169262725294,34.34668200163063,1795,59043,,45,48,990,140190778,109384,3466886,41,634,24,17
2025-01-01,2964,222,76,40180,20469,6417,1612678,,,34.295188719035174,304.2737735642576,11.351703763572162,42.7254618665398,1796,59687,,46,49,981,141071342,110954,3504648,34,633,40,18
2025-01-15,2883,127,640,25461,20787,5155,746511,,,0.00045811585446857135,28.781127619361587,0.0028192093323977483,1.5613589689535325,38878,23417,38725,,50,11802,141937552,113112,3540624,,3,2,476
2025-02-01,2964,228,363,40412,20838,5837,1647934,,,15.56398934807724,340.6097429823858,9.933960298276784,45.01731634372921,1877,60669,,55,53,1043,142572146,113587,3573820,34,638,41,18
2025-02-15,2976,243,77,40773,20978,5918,1687378,,,58.61926479292003,399.9354760567951,8.488781622707505,46.951463169272024,1822,61253,,58,56,987,142738409,114349,3586529,34,632,41,20
2025-03-02,2983,257,77,40828,21011,5919,1711207,,,55.57360172907045,413.313525420571,6.471118455351357,57.5672017217127,1952,61881,,77,54,1100,143368488,115651,3617058,30,632,45,20
2025-03-15,2994,270,77,41330,21164,5917,1737128,,,73.77725610386226,434.6915655216307,4.85034733667594,62.450991975050584,1943,62354,,130,53,1008,143678620,116881,3644672,41,633,60,24
2025-04-01,2992,296,419,41069,21265,5765,1738005,,,60.42901506140408,426.4043231346711,4.227997462718757,70.78030260881995,2246,62484,,106,55,1339,144699261,118579,3669882,28,634,67,29
2025-04-15,3010,363,82,41560,21274,5744,1785841,,,45.63608614520483,448.4827475868817,4.631903751443824,72.08549973607494,2101,62867,,84,56,1195,145119449,119606,3696549,41,634,74,27
2025-05-02,2946,374,80,41630,21005,5748,1810020,,,52.70280054679617,458.1664314205904,4.643209487500732,72.71294730103655,1965,63156,,87,56,1057,145456524,120178,3720481,41,635,71,28
2025-05-15,2943,385,81,41953,20988,5750,1827838,,,52.703349960290076,458.00113024401384,4.647965046410041,73.0211104060992,1968,63406,,87,58,1055,148036312,121148,3762702,40,638,72,29
2025-06-01,2949,397,80,42163,21009,5749,1858617,,,52.70556007929254,460.3933110258652,4.693525822430703,73.89847889327748,1978,63664,,90,59,1058,148348748,122267,3790766,40,637,77,29
2025-06-15,2954,403,81,43513,21016,5733,1895323,,,66.74762434257767,460.27158977477825,4.9011892119325084,73.76167833004992,2059,63801,,104,59,1125,148647511,123255,3827879,40,637,77,29
2025-07-01,2965,422,100,43789,21004,5762,1913278,,,57.62502054382311,442.7277722778134,4.98918487714113,72.96723494568721,2216,64047,,81,60,1318,149342023,124366,3860630,40,638,62,30
2025-07-15,2972,425,110,44140,21093,6061,1937197,,,72.94609516460714,466.45617063229986,5.059091665880275,74.48450500704472,2034,64572,,70,61,1145,149694522,126199,3887134,40,639,62,30
2025-08-01,2976,439,111,44640,21086,6052,1965617,,,54.36890137200659,443.32252006916855,4.892206706714896,75.0083288698119,2174,64701,,86,61,1072,150136954,127980,3920571,40,639,259,36
2025-08-15,2980,441,104,44876,21116,6054,1990401,,,54.24998366575394,469.2133469651689,4.8922955702303526,95.73686753977816,2124,64989,,86,60,996,150456799,128755,3944410,40,639,286,36
2025-09-01,2986,443,106,45509,21099,6062,2041564,,,59.44489614763581,468.8343192160621,4.892398367224604,95.01367297658152,2144,65349,,86,59,976,151447431,130096,3988309,40,639,327,36
2025-09-15,2992,445,100,45640,21095,6060,2080684,,,59.44774251411366,468.9848834520372,4.8924906108012465,94.86726682575116,2149,65451,,89,59,977,152138483,131103,4031172,40,639,328,36
2025-10-01,2995,447,100,45793,21108,6058,2109928,,,59.451097668445065,471.0312116848986,4.885163752752915,94.87665974462512,2152,65588,,89,59,978,152640776,131994,4061775,40,641,328,36
2025-10-15,3001,475,102,45906,21115,6068,2141765,,,57.9187861436106,504.72193644249035,4.88407497066203,94.65274896326576,2194,65794,,98,59,969,153028910,132997,4094522,40,636,371,36
2025-11-01,3011,490,102,46632,21116,6060,2191332,,,58.086755464469576,510.09970299035285,4.884945043806662,97.17613747618441,2313,66594,,216,62,961,153684989,134919,4144663,40,637,376,28
2025-11-15,3017,491,102,47689,21168,6127,2237878,,,57.35936457470582,517.7887783070081,4.803511389646386,97.51060560277924,2349,66915,,219,62,986,154125644,136294,4183145,40,638,383,28
2025-12-01,3029,502,105,47780,21366,6129,2272434,,,57.685709605218285,518.2686274542973,4.5766684269014535,99.0850792019055,2462,67476,,233,62,1067,154621681,137955,4221413,40,648,389,30
2025-12-15,3031,508,109,47920,21394,6927,2298602,,,59.18026456465766,519.0115010788019,4.467804129471843,99.46208163482198,2517,67763,,239,62,1114,154926045,141021,4253093,38,648,389,38
2026-01-01,3048,517,109,48185,21383,6948,2326645,,,54.87087298337178,530.9013273896762,4.630655009230331,99.85401867092395,2531,68937,,244,62,1131,156001349,144690,4483853,38,647,381,42
2026-02-01,3063,555,109,37083,21419,5979,2389435,,,55.74932670036495,534.4124976442024,10.1399499318792,91.47749814113403,2673,69437,,274,62,1179,157492831,149048,4545184,38,651,434,47
2026-02-08,3081,561,109,37014,21427,5984,2401818,,,55.589976777728396,534.0369332463932,10.39163478519575,90.77149808445908,2642,69598,,279,61,1139,157663144,150435,4558282,38,654,436,47
2026-02-15,3085,571,108,37091,21441,5958,2414820,,,55.59055244623048,534.0837439456142,10.518225793587902,90.72182999461805,2592,69698,,279,61,1068,157834053,151766,4572270,38,661,450,47
2026-02-22,3089,587,109,37272,21446,5955,2428205,,,55.42034583868024,534.0886744175496,10.51829590736935,91.36395361718246,2590,69801,,282,61,1066,158053776,152687,4587922,38,661,447,47
2026-03-01,3095,599,108,37467,21430,5951,2440728,,,55.42124940946013,534.1144508913151,10.518445630165976,91.81480953959931,2588,69883,,282,61,1063,158269633,153551,4600518,38,661,448,47
2026-03-02,3098,599,108,37467,21430,5939,2442287,,,55.42124940946013,534.1144507356794,10.518445630165976,91.81480931510816,2588,69883,,282,61,1063,158291157,153667,4602186,38,661,448,47
2026-03-03,3098,601,108,37469,21430,5939,2444655,,,54.29108189271807,527.5896481865635,10.518459942585936,91.86018952467693,2714,69777,,277,61,1063,158320087,153756,4604567,38,661,579,47
2026-03-04,3099,602,108,37471,21430,5936,2446491,,,50.89833917159696,499.4571826972392,10.518459942585936,91.33970822840112,2840,69723,,279,61,1279,158341573,154013,4606393,38,658,490,47
2026-03-05,3099,609,108,37464,21430,5936,2448713,,,50.89843511634732,499.45457445139084,10.556661427490427,91.60335158754965,2829,69747,,279,61,1268,158367348,154185,4608438,38,658,490,47
2026-03-06,3099,611,108,37451,21430,5937,2451764,,,50.89853106109767,438.201760071777,10.556668585502731,90.15787603125078,2893,69701,,282,61,1340,158380447,154436,4611259,38,658,489,48
2026-03-07,3100,615,108,37413,21430,5937,2454114,,,51.06798236041173,456.3194372507464,12.893717091474455,90.40521773873417,2846,69753,,282,61,1123,158403829,154670,4613073,38,661,656,48
2026-03-08,3100,620,108,37414,21433,5937,2456147,,,51.06798236041173,456.33377520342185,12.893717091804028,90.41244712499898,2847,69755,,282,61,1124,158464119,154856,4614979,38,661,656,48
2026-03-15,3102,625,111,37662,21443,6105,3037154,,,51.06865507310225,464.2823343023946,12.894432305067028,91.22007022393501,2814,69838,,282,61,1091,159160922,156045,4628733,38,661,656,48
2026-03-20,3108,627,114,37687,21448,6106,3052479,,,51.080041792646064,465.2152685979398,13.208565297026114,92.1136747402999,2824,70016,,279,61,1102,159418678,157200,4644950,38,661,657,49
2026-03-21,3108,627,114,37757,21438,6147,3053979,,,51.08013773739641,465.21798405382043,13.208592299636145,92.11889500123874,2833,70022,,279,61,1111,159437633,157543,4646798,38,661,657,58
2026-03-22,3106,627,114,37767,21438,6150,3055463,,,51.065570860140035,463.91885273771993,13.208646303541855,93.28095386725809,2825,70068,,282,61,1074,159456313,157760,4648232,38,662,682,58
2026-03-23,3107,627,114,37770,21438,6163,3057962,,,51.06567135117475,463.92156820580726,13.208674142861971,93.28180245503752,2826,70071,,282,61,1075,159472770,157908,4650712,38,662,682,58
2026-03-24,3108,631,113,37781,21438,6163,3060485,,,51.06567210321735,461.0701830953015,13.208674281269495,93.28180245503752,2831,70073,,282,61,1080,159492365,158053,4653085,38,662,682,58
2026-03-25,3111,634,113,37836,21438,6163,3064266,,,51.06576804796771,461.07292210226046,13.208701283879526,93.34630121149759,2828,70084,,282,61,1077,159519531,158332,4656780,38,662,682,56
2026-03-26,3112,635,113,37946,21442,6163,3067130,,,51.065869075427294,454.1638696341818,13.208728261093082,93.30629942233546,2846,70089,,283,61,1083,159586865,158607,4659326,38,658,697,51
2026-03-27,3113,635,113,37945,21432,6164,3068750,,,51.06597026445471,454.1390211341411,13.208759522927991,93.45015196264801,2855,70132,,283,61,1086,159599784,158910,4660764,38,658,703,51
2026-03-28,3113,635,113,37987,21432,6159,3070433,,,51.066162153955425,454.14433415859986,13.208813528148056,93.4483925281205,2859,70136,,283,61,1090,159619059,159279,4662516,38,658,703,51
2026-03-29,3114,639,113,37989,21432,6159,3072874,,,51.066162153955425,454.14486669038496,13.208813528148056,93.6142365265904,2864,70191,,289,61,1089,159752838,159440,4664690,38,658,703,51
2026-03-30,3115,645,113,37997,21374,6159,3074855,,,51.06634654115496,454.15022595614766,13.20886753336812,93.92396952598011,2864,70243,,289,61,1087,159834919,159680,4666654,38,658,705,51
2026-04-01,3116,649,113,37998,21384,6159,3081410,412,537,51.066398557779664,454.15542831008776,13.208894592317055,94.09601544065212,2883,70264,,289,61,1106,159884607,159943,4672853,38,658,705,51
2026-04-02,3117,650,113,37998,21384,6162,3083976,412,537,51.06643853475898,450.8491200299626,13.208905843405027,94.24981709989507,2891,70269,,289,61,1107,159904825,160080,4675192,38,659,711,51
2026-04-03,3117,653,113,37998,21384,6162,3085587,412,537,51.066535,499.142739,13.208933,95.835305,2832,70359,,289,61,1044,159947200,160199,4676782,38,657,717,41
